GeneID	SeqID	GeneGroup1	GeneGroup2	GeneGroup3
DdB_00001	scaffold00001	--	--	--
DdB_00002	scaffold00001	--	--	--
DdB_00003	scaffold00001	--	--	--
DdB_00004	scaffold00001	--	--	--
DdB_00005	scaffold00001	--	--	--
DdB_00006	scaffold00001	--	--	--
DdB_00007	scaffold00001	--	--	--
DdB_00008	scaffold00001	--	--	--
DdB_00009	scaffold00001	--	--	--
DdB_00010	scaffold00001	--	--	--
DdB_00011	scaffold00001	--	--	--
DdB_00012	scaffold00001	--	--	--
DdB_00013	scaffold00001	--	--	--
DdB_00014	scaffold00001	--	--	--
DdB_00015	scaffold00001	--	--	--
DdB_00016	scaffold00001	--	--	--
DdB_00017	scaffold00001	--	--	--
DdB_00018	scaffold00001	--	--	--
DdB_00019	scaffold00001	--	--	--
DdB_00020	scaffold00001	--	--	--
DdB_00021	scaffold00001	--	--	--
DdB_00022	scaffold00001	--	--	--
DdB_00023	scaffold00001	--	--	--
DdB_00024	scaffold00001	--	--	--
DdB_00025	scaffold00001	--	--	--
DdB_00026	scaffold00001	--	--	--
DdB_00027	scaffold00001	--	--	--
DdB_00028	scaffold00001	--	--	--
DdB_00029	scaffold00001	--	--	--
DdB_00030	scaffold00001	--	--	--
DdB_00031	scaffold00001	--	--	--
DdB_00032	scaffold00001	--	--	--
DdB_00033	scaffold00001	--	--	--
DdB_00034	scaffold00001	--	--	--
DdB_00035	scaffold00001	--	--	--
DdB_00036	scaffold00001	--	--	--
DdB_00037	scaffold00001	--	--	--
DdB_00038	scaffold00001	--	--	--
DdB_00039	scaffold00001	--	--	--
DdB_00040	scaffold00001	--	--	--
DdB_00041	scaffold00001	--	--	--
DdB_00042	scaffold00001	--	--	--
DdB_00043	scaffold00001	--	--	--
DdB_00044	scaffold00001	--	--	--
DdB_00045	scaffold00001	--	--	--
DdB_00046	scaffold00001	--	--	--
DdB_00047	scaffold00001	--	--	--
DdB_00048	scaffold00001	--	--	--
DdB_00049	scaffold00001	--	--	--
DdB_00050	scaffold00001	--	--	--
DdB_00051	scaffold00001	--	--	--
DdB_00052	scaffold00001	--	--	--
DdB_00053	scaffold00001	--	--	--
DdB_00054	scaffold00001	--	--	--
DdB_00055	scaffold00001	--	--	--
DdB_00056	scaffold00001	--	--	--
DdB_00057	scaffold00001	--	--	--
DdB_00058	scaffold00001	--	--	--
DdB_00059	scaffold00001	--	--	--
DdB_00060	scaffold00001	--	--	--
DdB_00061	scaffold00001	--	--	--
DdB_00062	scaffold00001	--	--	--
DdB_00063	scaffold00001	--	--	--
DdB_00064	scaffold00001	--	--	--
DdB_00065	scaffold00001	--	--	--
DdB_00066	scaffold00001	--	--	--
DdB_00067	scaffold00001	--	--	--
DdB_00068	scaffold00001	--	--	--
DdB_00069	scaffold00001	--	--	--
DdB_00070	scaffold00001	--	--	--
DdB_00071	scaffold00001	--	--	--
DdB_00072	scaffold00001	--	--	--
DdB_00073	scaffold00001	--	--	--
DdB_00074	scaffold00001	--	--	--
DdB_00075	scaffold00001	--	--	--
DdB_00076	scaffold00001	--	--	--
DdB_00077	scaffold00001	--	--	--
DdB_00078	scaffold00001	--	--	--
DdB_00079	scaffold00001	--	--	--
DdB_00080	scaffold00001	--	--	--
DdB_00081	scaffold00001	--	--	--
DdB_00082	scaffold00001	--	--	--
DdB_00083	scaffold00001	--	--	--
DdB_00084	scaffold00001	--	--	--
DdB_00085	scaffold00001	--	--	--
DdB_00086	scaffold00001	--	--	--
DdB_00087	scaffold00001	--	--	--
DdB_00088	scaffold00001	--	--	--
DdB_00089	scaffold00001	--	--	--
DdB_00090	scaffold00001	--	--	--
DdB_00091	scaffold00001	--	--	--
DdB_00092	scaffold00001	--	--	--
DdB_00093	scaffold00001	--	--	--
DdB_00094	scaffold00001	--	--	--
DdB_00095	scaffold00001	--	--	--
DdB_00096	scaffold00001	--	--	--
DdB_00097	scaffold00001	--	--	--
DdB_00098	scaffold00001	--	--	--
DdB_00099	scaffold00001	--	--	--
DdB_00100	scaffold00001	--	--	--
DdB_00101	scaffold00001	--	--	--
DdB_00102	scaffold00001	--	--	--
DdB_00103	scaffold00001	--	--	--
DdB_00104	scaffold00001	--	--	--
DdB_00105	scaffold00001	--	--	--
DdB_00106	scaffold00001	--	--	--
