Query	invertebrates-Sbjct	E-value	non_invertebrates-Sbjct	E-value	
DdB|DdB_00168	XP_001898659.2	3.72e-59	XP_060121916.1	5.45e-40
DdB|DdB_00736	XP_003117503.2	3.56e-47	--	--
DdB|DdB_00926	XP_011185319.3	6.27e-12	WP_151851837.1	9.74e-07
DdB|DdB_01152	XP_064037002.1	1.22e-34	XP_001415918.1	4.81e-25
DdB|DdB_01170	XP_046340585.2	3.2e-87	WP_207634960.1	4.78e-51
DdB|DdB_01508	XP_006824501.1	4.9e-21	WP_004759495.1	3.48e-20
DdB|DdB_01582	XP_021367590.1	8.75e-15	WP_311766401.1	1.11e-10
DdB|DdB_01583	XP_021367590.1	3.8e-27	WP_260424968.1	2.91e-19
DdB|DdB_01819	XP_064064086.1	3.84e-106	XP_051385588.1	2.17e-14
DdB|DdB_01855	XP_033755170.1	6.75e-12	WP_230027319.1	1.04e-06
DdB|DdB_01935	XP_059144463.1	8.9e-43	WP_140711267.1	6.87e-56
DdB|DdB_02442	XP_018019191.1	2.67e-127	WP_088906644.1	1.43e-64
DdB|DdB_02535	XP_041771620.1	1.87e-08	--	--
DdB|DdB_02571	XP_018019191.1	3.55e-103	WP_235526014.1	8.43e-65
DdB|DdB_02652	XP_001898239.1	9.54e-23	WP_211427301.1	7.44e-06
DdB|DdB_02693	XP_046340585.2	1.46e-108	XP_057548724.1	3.71e-52
DdB|DdB_02740	XP_045588048.1	4.11e-42	WP_207634960.1	2.12e-27
DdB|DdB_02774	XP_046340585.2	5.37e-106	XP_057252193.1	6.97e-47
DdB|DdB_03147	XP_046340585.2	2.79e-62	WP_207634960.1	1.96e-38
DdB|DdB_03170	XP_042934857.1	1.81e-07	--	--
DdB|DdB_03206	XP_046340585.2	6.42e-106	WP_207634960.1	3.74e-50
DdB|DdB_03416	XP_001900590.1	6.81e-20	--	--
DdB|DdB_03462	XP_046340585.2	2.67e-77	WP_207634960.1	2.76e-46
DdB|DdB_03602	XP_064045954.1	7.9e-10	--	--
DdB|DdB_03603	XP_064045954.1	4.23e-10	--	--
DdB|DdB_03705	XP_001657270.2	1.74e-49	WP_138134876.1	7.67e-41
DdB|DdB_03710	XP_037728532.1	3.45e-08	XP_020552043.1	2.19e-09
DdB|DdB_03742	XP_006824501.1	1.76e-29	WP_004759495.1	1.77e-20
DdB|DdB_03809	XP_046340585.2	6.6e-112	WP_266329488.1	1.65e-57
DdB|DdB_03835	XP_001902398.2	5.25e-29	--	--
DdB|DdB_04148	NP_001368079.1	1.22e-172	WP_334412467.1	7.94e-169
DdB|DdB_04272	XP_064035710.1	1.52e-31	XP_065993703.1	3.76e-19
DdB|DdB_04277	XP_052061160.1	2.38e-22	XP_006307463.1	5.46e-14
DdB|DdB_04317	XP_024506980.1	5.17e-33	XP_006681268.1	8.84e-22
DdB|DdB_04429	XP_045461426.1	3.04e-28	XP_002951573.1	1.76e-08
DdB|DdB_04431	XP_045461426.1	3.04e-28	XP_002951573.1	1.76e-08
DdB|DdB_04551	XP_024510154.1	1.56e-08	--	--
